,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,city,churn,type_of_plan,highest_level_education,work_status,sex,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew_Offer_Type,reachability,type_of_vehicle
39,39,39,39,39,39,39,39,39,Takoradi,No,primary_plan,High School or Below,Employed,male,Divorced,132,17,1,1,customer_call_centre,4-door_car
40,40,40,40,40,40,40,40,40,Cape_coast,No,primary_plan,High School or Below,Unemployed,female,Married,140,30,1,3,customer_call_centre,2-door_car
41,41,41,41,41,41,41,41,41,Kumasi,Yes,primary_plan,College,Employed,female,Single,142,13,1,2,contacting_agent,2-door_car
42,42,42,42,42,42,42,42,42,Accra,Yes,extended_plan,Bachelor,Employed,female,Married,198,52,1,2,contacting_agent,4-door_car
43,43,43,43,43,43,43,43,43,Takoradi,No,primary_plan,High School or Below,Employed,male,Married,206,64,2,4,contacting_agent,Sports Car
44,44,44,44,44,44,44,44,44,Tamale,No,primary_plan,College,Employed,male,Married,122,64,1,2,customer_call_centre,4-door_car
45,45,45,45,45,45,45,45,45,Kumasi,No,premium_plan,Doctor,Disabled,female,Married,344,22,3,1,contacting_branch_directly,SUV
46,46,46,46,46,46,46,46,46,Takoradi,No,primary_plan,Bachelor,Unemployed,male,Single,146,30,5,3,customer_call_centre,4-door_car
47,47,47,47,47,47,47,47,47,Kumasi,No,primary_plan,High School or Below,Employed,female,Single,142,30,4,4,contacting_agent,2-door_car
48,48,48,48,48,48,48,48,48,Accra,No,extended_plan,Bachelor,Unemployed,female,Married,184,47,1,2,customer_call_centre,4-door_car
49,49,49,49,49,49,49,49,49,Takoradi,No,primary_plan,High School or Below,Unemployed,female,Married,124,47,1,4,contacting_branch_directly,4-door_car
50,50,50,50,50,50,50,50,50,Kumasi,No,primary_plan,College,Employed,male,Married,208,4,2,1,contacting_agent,SUV
51,51,51,51,51,51,51,51,51,Accra,Yes,primary_plan,Bachelor,Employed,female,Divorced,212,77,2,1,via_the_web,SUV
52,52,52,52,52,52,52,52,52,Cape_coast,No,primary_plan,High School or Below,Employed,female,Married,138,17,2,4,contacting_branch_directly,4-door_car
53,53,53,53,53,53,53,53,53,Tamale,No,primary_plan,Bachelor,Employed,male,Single,128,82,3,4,contacting_agent,4-door_car
54,54,54,54,54,54,54,54,54,Accra,No,premium_plan,Bachelor,Disabled,male,Married,226,86,1,1,contacting_branch_directly,4-door_car
55,55,55,55,55,55,55,55,55,Takoradi,No,extended_plan,College,Employed,female,Divorced,182,4,3,3,customer_call_centre,4-door_car
56,56,56,56,56,56,56,56,56,Accra,No,primary_plan,College,Employed,male,Married,128,103,2,2,contacting_branch_directly,4-door_car
57,57,57,57,57,57,57,57,57,Takoradi,No,primary_plan,High School or Below,Unemployed,female,Married,202,125,1,1,customer_call_centre,SUV
58,58,58,58,58,58,58,58,58,Kumasi,No,extended_plan,High School or Below,Disabled,female,Divorced,248,146,1,1,customer_call_centre,SUV
59,59,59,59,59,59,59,59,59,Kumasi,No,premium_plan,Master,Disabled,female,Divorced,216,17,1,1,contacting_agent,4-door_car
60,60,60,60,60,60,60,60,60,Takoradi,Yes,primary_plan,Bachelor,Retired,male,Divorced,130,4,3,1,contacting_agent,4-door_car
61,61,61,61,61,61,61,61,61,Accra,No,premium_plan,Bachelor,Medical Leave,female,Married,210,17,6,1,customer_call_centre,2-door_car
62,62,62,62,62,62,62,62,62,Kumasi,No,extended_plan,Bachelor,Unemployed,male,Single,188,86,1,1,contacting_agent,2-door_car
63,63,63,63,63,63,63,63,63,Accra,No,primary_plan,High School or Below,Employed,female,Married,200,0,2,1,contacting_agent,SUV
64,64,64,64,64,64,64,64,64,Takoradi,No,primary_plan,Bachelor,Unemployed,female,Single,126,90,2,3,contacting_branch_directly,4-door_car
65,65,65,65,65,65,65,65,65,Tamale,No,primary_plan,College,Employed,male,Married,146,125,1,3,via_the_web,4-door_car
66,66,66,66,66,66,66,66,66,Kumasi,No,primary_plan,College,Employed,female,Divorced,224,30,3,1,contacting_agent,SUV
67,67,67,67,67,67,67,67,67,Takoradi,No,extended_plan,High School or Below,Employed,female,Married,194,22,2,4,contacting_branch_directly,2-door_car
68,68,68,68,68,68,68,68,68,Kumasi,Yes,extended_plan,Bachelor,Unemployed,female,Divorced,190,56,5,1,customer_call_centre,2-door_car
69,69,69,69,69,69,69,69,69,Accra,No,premium_plan,College,Disabled,female,Married,204,73,2,3,via_the_web,4-door_car
70,70,70,70,70,70,70,70,70,Kumasi,No,primary_plan,High School or Below,Employed,male,Divorced,226,73,2,4,contacting_agent,SUV
71,71,71,71,71,71,71,71,71,Kumasi,No,primary_plan,Master,Employed,male,Married,130,125,1,2,via_the_web,2-door_car
72,72,72,72,72,72,72,72,72,Kumasi,No,primary_plan,Master,Medical Leave,male,Married,128,4,1,1,contacting_agent,4-door_car
73,73,73,73,73,73,73,73,73,Kumasi,No,primary_plan,Bachelor,Unemployed,male,Single,208,129,5,1,contacting_agent,Sports Car
74,74,74,74,74,74,74,74,74,Kumasi,Yes,primary_plan,Bachelor,Employed,male,Divorced,130,22,9,2,contacting_branch_directly,2-door_car
75,75,75,75,75,75,75,75,75,Kumasi,No,primary_plan,Bachelor,Employed,male,Married,146,116,2,2,contacting_branch_directly,4-door_car
76,76,76,76,76,76,76,76,76,Kumasi,No,primary_plan,High School or Below,Employed,female,Single,142,73,6,2,customer_call_centre,4-door_car
77,77,77,77,77,77,77,77,77,Cape_coast,No,primary_plan,College,Employed,male,Married,134,86,2,2,contacting_agent,4-door_car
78,78,78,78,78,78,78,78,78,Tamale,No,extended_plan,College,Employed,male,Married,198,26,2,1,contacting_agent,4-door_car
79,79,79,79,79,79,79,79,79,Accra,No,primary_plan,Bachelor,Employed,male,Single,372,0,2,2,contacting_branch_directly,luxirious_car
80,80,80,80,80,80,80,80,80,Accra,No,extended_plan,College,Unemployed,female,Single,154,86,2,3,contacting_branch_directly,2-door_car
81,81,81,81,81,81,81,81,81,Accra,Yes,primary_plan,High School or Below,Employed,male,Single,148,99,8,2,customer_call_centre,4-door_car
82,82,82,82,82,82,82,82,82,Accra,No,primary_plan,Doctor,Employed,male,Married,204,52,1,3,contacting_branch_directly,SUV
83,83,83,83,83,83,83,83,83,Cape_coast,No,primary_plan,Master,Employed,male,Married,126,150,1,2,customer_call_centre,4-door_car
84,84,84,84,84,84,84,84,84,Kumasi,No,extended_plan,College,Disabled,female,Single,180,120,3,2,contacting_agent,4-door_car
85,85,85,85,85,85,85,85,85,Tamale,No,primary_plan,High School or Below,Employed,male,Married,132,64,2,1,customer_call_centre,4-door_car
86,86,86,86,86,86,86,86,86,Accra,Yes,extended_plan,College,Retired,male,Married,192,120,5,1,contacting_agent,4-door_car
87,87,87,87,87,87,87,87,87,Accra,No,primary_plan,Bachelor,Employed,female,Married,138,13,1,3,via_the_web,4-door_car
88,88,88,88,88,88,88,88,88,Kumasi,No,primary_plan,Bachelor,Employed,female,Divorced,134,56,1,3,contacting_branch_directly,4-door_car
89,89,89,89,89,89,89,89,89,Accra,Yes,extended_plan,College,Employed,male,Married,152,64,4,1,contacting_branch_directly,4-door_car
90,90,90,90,90,90,90,90,90,Kumasi,No,premium_plan,College,Medical Leave,male,Married,238,90,2,2,contacting_branch_directly,2-door_car
91,91,91,91,91,91,91,91,91,Tamale,Yes,extended_plan,Bachelor,Employed,female,Married,176,30,2,2,customer_call_centre,2-door_car
92,92,92,92,92,92,92,92,92,Kumasi,No,primary_plan,Bachelor,Employed,female,Married,126,103,1,1,contacting_agent,4-door_car
93,93,93,93,93,93,93,93,93,Kumasi,No,primary_plan,Bachelor,Employed,male,Married,134,99,1,1,contacting_branch_directly,2-door_car
94,94,94,94,94,94,94,94,94,Accra,No,extended_plan,High School or Below,Unemployed,female,Single,154,34,9,1,contacting_agent,4-door_car
95,95,95,95,95,95,95,95,95,Kumasi,No,primary_plan,Bachelor,Employed,female,Married,148,9,2,1,contacting_branch_directly,4-door_car
96,96,96,96,96,96,96,96,96,Takoradi,No,primary_plan,Master,Medical Leave,female,Married,218,52,9,1,contacting_branch_directly,SUV
97,97,97,97,97,97,97,97,97,Accra,No,primary_plan,Bachelor,Medical Leave,male,Married,124,125,8,1,contacting_agent,4-door_car
98,98,98,98,98,98,98,98,98,Takoradi,No,primary_plan,Bachelor,Employed,female,Married,148,129,9,3,via_the_web,4-door_car
99,99,99,99,99,99,99,99,99,Kumasi,No,extended_plan,College,Employed,male,Married,152,47,7,1,contacting_agent,2-door_car
100,100,100,100,100,100,100,100,100,Accra,Yes,primary_plan,College,Unemployed,female,Married,214,13,3,1,contacting_agent,SUV
101,101,101,101,101,101,101,101,101,Accra,Yes,primary_plan,College,Unemployed,male,Single,140,103,1,1,contacting_branch_directly,4-door_car
102,102,102,102,102,102,102,102,102,Kumasi,No,primary_plan,Bachelor,Employed,male,Single,124,9,3,3,customer_call_centre,2-door_car
103,103,103,103,103,103,103,103,103,Accra,Yes,premium_plan,College,Employed,male,Married,214,39,1,2,contacting_branch_directly,4-door_car
104,104,104,104,104,104,104,104,104,Accra,No,extended_plan,High School or Below,Unemployed,female,Single,260,120,4,1,via_the_web,SUV
105,105,105,105,105,105,105,105,105,Kumasi,No,extended_plan,Bachelor,Employed,female,Married,176,125,9,1,customer_call_centre,4-door_car
106,106,106,106,106,106,106,106,106,Accra,No,primary_plan,Bachelor,Employed,female,Married,130,56,2,3,contacting_branch_directly,4-door_car
107,107,107,107,107,107,107,107,107,Kumasi,No,primary_plan,High School or Below,Unemployed,male,Married,234,22,3,1,contacting_agent,SUV
108,108,108,108,108,108,108,108,108,Accra,No,primary_plan,Bachelor,Employed,female,Married,148,73,9,1,contacting_agent,2-door_car
109,109,109,109,109,109,109,109,109,Kumasi,No,primary_plan,College,Employed,male,Married,124,22,1,4,contacting_agent,4-door_car
110,110,110,110,110,110,110,110,110,Accra,No,extended_plan,College,Employed,male,Married,170,17,7,4,contacting_agent,4-door_car
111,111,111,111,111,111,111,111,111,Tamale,No,extended_plan,High School or Below,Employed,male,Divorced,196,69,8,2,via_the_web,4-door_car
112,112,112,112,112,112,112,112,112,Takoradi,No,primary_plan,College,Employed,male,Married,218,82,7,2,contacting_branch_directly,SUV
113,113,113,113,113,113,113,113,113,Kumasi,No,primary_plan,Bachelor,Employed,male,Single,132,69,2,1,contacting_agent,4-door_car
114,114,114,114,114,114,114,114,114,Tamale,No,primary_plan,High School or Below,Employed,male,Married,134,0,2,4,contacting_branch_directly,4-door_car
115,115,115,115,115,115,115,115,115,Accra,No,primary_plan,High School or Below,Unemployed,male,Married,204,47,3,1,contacting_agent,SUV
116,116,116,116,116,116,116,116,116,Kumasi,Yes,extended_plan,High School or Below,Retired,male,Divorced,266,150,1,2,contacting_agent,SUV
117,117,117,117,117,117,117,117,117,Takoradi,No,extended_plan,High School or Below,Employed,male,Married,172,150,9,2,contacting_branch_directly,2-door_car
118,118,118,118,118,118,118,118,118,Accra,No,primary_plan,Bachelor,Employed,female,Single,124,103,1,3,contacting_agent,2-door_car
119,119,119,119,119,119,119,119,119,Accra,No,extended_plan,College,Employed,female,Married,156,43,1,2,customer_call_centre,4-door_car
120,120,120,120,120,120,120,120,120,Tamale,No,extended_plan,College,Unemployed,male,Married,166,112,1,3,via_the_web,2-door_car
121,121,121,121,121,121,121,121,121,Accra,No,primary_plan,Bachelor,Employed,male,Married,224,26,9,1,customer_call_centre,Sports Car
122,122,122,122,122,122,122,122,122,Kumasi,No,primary_plan,High School or Below,Employed,female,Married,136,73,7,3,contacting_branch_directly,2-door_car
123,123,123,123,123,123,123,123,123,Accra,No,primary_plan,High School or Below,Employed,male,Single,384,39,3,3,via_the_web,luxurious_suv
124,124,124,124,124,124,124,124,124,Cape_coast,No,primary_plan,Bachelor,Employed,female,Married,126,73,1,1,contacting_agent,4-door_car
125,125,125,125,125,125,125,125,125,Kumasi,No,premium_plan,College,Employed,male,Divorced,226,43,2,1,customer_call_centre,4-door_car
126,126,126,126,126,126,126,126,126,Kumasi,No,extended_plan,Master,Employed,female,Single,156,86,1,2,contacting_branch_directly,4-door_car
127,127,127,127,127,127,127,127,127,Takoradi,No,extended_plan,College,Employed,male,Married,194,125,1,1,contacting_branch_directly,4-door_car
128,128,128,128,128,128,128,128,128,Kumasi,Yes,primary_plan,College,Retired,male,Divorced,132,56,2,2,via_the_web,4-door_car
129,129,129,129,129,129,129,129,129,Tamale,No,primary_plan,Master,Unemployed,female,Married,138,39,2,2,contacting_agent,4-door_car
130,130,130,130,130,130,130,130,130,Takoradi,No,primary_plan,High School or Below,Employed,male,Married,218,60,1,1,contacting_agent,Sports Car
131,131,131,131,131,131,131,131,131,Cape_coast,No,primary_plan,Bachelor,Employed,female,Married,148,60,8,1,contacting_branch_directly,4-door_car
132,132,132,132,132,132,132,132,132,Kumasi,No,primary_plan,Bachelor,Employed,female,Married,144,69,4,1,customer_call_centre,4-door_car
133,133,133,133,133,133,133,133,133,Takoradi,No,premium_plan,College,Employed,male,Married,236,138,1,1,contacting_agent,4-door_car
134,134,134,134,134,134,134,134,134,Takoradi,No,primary_plan,High School or Below,Unemployed,female,Single,148,64,2,1,via_the_web,4-door_car
135,135,135,135,135,135,135,135,135,Takoradi,No,primary_plan,High School or Below,Unemployed,male,Single,234,26,1,1,contacting_agent,SUV
136,136,136,136,136,136,136,136,136,Kumasi,No,primary_plan,High School or Below,Employed,female,Married,238,22,3,1,contacting_branch_directly,Sports Car
137,137,137,137,137,137,137,137,137,Tamale,No,primary_plan,College,Unemployed,female,Single,126,9,1,2,contacting_agent,4-door_car
138,138,138,138,138,138,138,138,138,Kumasi,No,extended_plan,College,Employed,female,Married,158,0,2,4,contacting_branch_directly,4-door_car
139,139,139,139,139,139,139,139,139,Takoradi,No,extended_plan,Bachelor,Employed,female,Single,178,86,2,3,contacting_branch_directly,4-door_car
140,140,140,140,140,140,140,140,140,Kumasi,No,primary_plan,College,Unemployed,male,Single,148,30,1,4,via_the_web,2-door_car
141,141,141,141,141,141,141,141,141,Takoradi,No,premium_plan,Master,Employed,male,Married,280,39,1,1,customer_call_centre,SUV
142,142,142,142,142,142,142,142,142,Accra,No,extended_plan,High School or Below,Unemployed,female,Single,254,129,6,3,contacting_branch_directly,Sports Car
143,143,143,143,143,143,143,143,143,Tamale,No,premium_plan,High School or Below,Employed,male,Married,336,120,1,3,contacting_agent,SUV
144,144,144,144,144,144,144,144,144,Kumasi,Yes,extended_plan,High School or Below,Unemployed,female,Married,192,133,1,1,contacting_agent,4-door_car
145,145,145,145,145,145,145,145,145,Cape_coast,No,extended_plan,Bachelor,Employed,male,Married,184,146,1,4,via_the_web,4-door_car
146,146,146,146,146,146,146,146,146,Accra,No,primary_plan,College,Unemployed,female,Married,144,30,2,1,customer_call_centre,4-door_car
147,147,147,147,147,147,147,147,147,Takoradi,No,primary_plan,Bachelor,Employed,female,Divorced,134,103,4,1,customer_call_centre,2-door_car
148,148,148,148,148,148,148,148,148,Takoradi,No,extended_plan,High School or Below,Employed,female,Married,198,0,3,2,via_the_web,4-door_car
149,149,149,149,149,149,149,149,149,Kumasi,Yes,premium_plan,College,Unemployed,male,Married,210,13,1,1,contacting_branch_directly,4-door_car
150,150,150,150,150,150,150,150,150,Tamale,No,primary_plan,Bachelor,Employed,male,Single,140,125,1,4,contacting_branch_directly,4-door_car
151,151,151,151,151,151,151,151,151,Tamale,Yes,primary_plan,High School or Below,Employed,male,Married,214,125,9,2,contacting_agent,Sports Car
152,152,152,152,152,152,152,152,152,Takoradi,No,extended_plan,High School or Below,Disabled,male,Married,252,47,1,4,contacting_agent,SUV
153,153,153,153,153,153,153,153,153,Takoradi,No,extended_plan,Bachelor,Medical Leave,female,Married,254,9,3,1,contacting_branch_directly,SUV
154,154,154,154,154,154,154,154,154,Accra,No,primary_plan,Bachelor,Employed,female,Single,148,73,1,2,contacting_branch_directly,4-door_car
155,155,155,155,155,155,155,155,155,Accra,No,primary_plan,High School or Below,Employed,male,Married,130,56,1,2,via_the_web,4-door_car
156,156,156,156,156,156,156,156,156,Kumasi,No,extended_plan,College,Employed,male,Single,184,120,1,3,contacting_agent,4-door_car
157,157,157,157,157,157,157,157,157,Kumasi,No,extended_plan,Bachelor,Employed,female,Married,164,60,2,2,contacting_agent,4-door_car
158,158,158,158,158,158,158,158,158,Takoradi,Yes,primary_plan,College,Retired,male,Married,210,77,1,2,contacting_agent,Sports Car
159,159,159,159,159,159,159,159,159,Takoradi,No,primary_plan,Bachelor,Employed,female,Married,128,60,2,1,via_the_web,2-door_car
160,160,160,160,160,160,160,160,160,Accra,No,primary_plan,High School or Below,Unemployed,male,Married,126,4,1,2,contacting_agent,2-door_car
161,161,161,161,161,161,161,161,161,Tamale,No,primary_plan,College,Employed,female,Married,222,30,1,1,contacting_agent,SUV
162,162,162,162,162,162,162,162,162,Accra,Yes,primary_plan,College,Unemployed,female,Divorced,236,60,4,1,contacting_agent,SUV
163,163,163,163,163,163,163,163,163,Tamale,Yes,primary_plan,Bachelor,Retired,female,Single,126,30,1,1,contacting_branch_directly,4-door_car
164,164,164,164,164,164,164,164,164,Accra,No,extended_plan,Bachelor,Unemployed,male,Single,154,64,2,1,contacting_agent,4-door_car
165,165,165,165,165,165,165,165,165,Kumasi,No,primary_plan,Master,Medical Leave,male,Married,136,52,2,1,contacting_agent,4-door_car
166,166,166,166,166,166,166,166,166,Accra,No,primary_plan,Bachelor,Unemployed,female,Single,138,142,2,1,contacting_agent,4-door_car
167,167,167,167,167,167,167,167,167,Accra,Yes,primary_plan,High School or Below,Unemployed,female,Single,122,73,7,1,contacting_agent,4-door_car
168,168,168,168,168,168,168,168,168,Kumasi,No,extended_plan,High School or Below,Employed,female,Divorced,164,4,2,3,contacting_agent,4-door_car
169,169,169,169,169,169,169,169,169,Accra,No,primary_plan,High School or Below,Unemployed,female,Married,148,47,2,1,contacting_agent,4-door_car
170,170,170,170,170,170,170,170,170,Accra,No,primary_plan,College,Medical Leave,male,Married,126,86,1,4,contacting_branch_directly,4-door_car
171,171,171,171,171,171,171,171,171,Kumasi,No,premium_plan,Doctor,Disabled,female,Divorced,202,129,2,2,contacting_agent,4-door_car
172,172,172,172,172,172,172,172,172,Cape_coast,No,primary_plan,College,Employed,female,Divorced,146,52,2,3,contacting_agent,4-door_car
173,173,173,173,173,173,173,173,173,Cape_coast,No,primary_plan,College,Unemployed,female,Married,122,22,1,3,contacting_agent,4-door_car
174,174,174,174,174,174,174,174,174,Accra,Yes,primary_plan,High School or Below,Employed,male,Single,148,99,8,2,customer_call_centre,4-door_car
175,175,175,175,175,175,175,175,175,Accra,No,primary_plan,Bachelor,Employed,female,Married,234,103,1,2,customer_call_centre,Sports Car
176,176,176,176,176,176,176,176,176,Tamale,No,primary_plan,College,Employed,female,Married,224,4,1,2,contacting_agent,SUV
177,177,177,177,177,177,177,177,177,Takoradi,No,primary_plan,Bachelor,Employed,female,Married,148,13,8,2,customer_call_centre,2-door_car
178,178,178,178,178,178,178,178,178,Tamale,No,primary_plan,College,Unemployed,female,Single,148,13,7,3,via_the_web,2-door_car
179,179,179,179,179,179,179,179,179,Accra,No,primary_plan,Bachelor,Employed,female,Divorced,208,73,1,2,customer_call_centre,Sports Car
180,180,180,180,180,180,180,180,180,Accra,No,premium_plan,Bachelor,Unemployed,female,Married,230,52,2,1,contacting_agent,4-door_car
181,181,181,181,181,181,181,181,181,Cape_coast,No,extended_plan,Bachelor,Employed,female,Married,434,17,4,3,contacting_branch_directly,luxirious_car
182,182,182,182,182,182,182,182,182,Kumasi,No,primary_plan,High School or Below,Employed,male,Married,124,120,3,2,contacting_branch_directly,4-door_car
183,183,183,183,183,183,183,183,183,Cape_coast,No,extended_plan,Bachelor,Employed,male,Single,170,99,2,4,contacting_agent,4-door_car
184,184,184,184,184,184,184,184,184,Accra,No,primary_plan,Bachelor,Unemployed,male,Single,220,13,1,1,contacting_agent,SUV
185,185,185,185,185,185,185,185,185,Accra,No,primary_plan,High School or Below,Employed,female,Single,222,47,2,3,customer_call_centre,SUV
186,186,186,186,186,186,186,186,186,Accra,No,primary_plan,College,Employed,female,Single,228,112,1,2,contacting_branch_directly,SUV
187,187,187,187,187,187,187,187,187,Takoradi,Yes,extended_plan,Bachelor,Employed,female,Married,276,86,1,2,contacting_agent,SUV
188,188,188,188,188,188,188,188,188,Accra,No,extended_plan,Bachelor,Employed,female,Single,152,13,1,3,contacting_branch_directly,4-door_car
189,189,189,189,189,189,189,189,189,Kumasi,No,extended_plan,College,Employed,male,Married,164,22,7,3,contacting_branch_directly,4-door_car
190,190,190,190,190,190,190,190,190,Accra,No,primary_plan,Master,Employed,male,Married,222,52,1,4,via_the_web,SUV
191,191,191,191,191,191,191,191,191,Accra,No,primary_plan,High School or Below,Unemployed,female,Single,138,22,1,4,contacting_branch_directly,2-door_car
192,192,192,192,192,192,192,192,192,Accra,No,primary_plan,Bachelor,Employed,male,Married,140,116,1,2,contacting_branch_directly,2-door_car
193,193,193,193,193,193,193,193,193,Kumasi,No,primary_plan,Bachelor,Employed,female,Married,134,30,2,4,contacting_agent,2-door_car
194,194,194,194,194,194,194,194,194,Takoradi,No,primary_plan,High School or Below,Unemployed,female,Divorced,126,26,2,1,contacting_branch_directly,4-door_car
195,195,195,195,195,195,195,195,195,Tamale,No,extended_plan,Bachelor,Employed,female,Married,162,47,1,1,contacting_agent,4-door_car
196,196,196,196,196,196,196,196,196,Kumasi,No,premium_plan,High School or Below,Employed,male,Single,510,52,1,4,via_the_web,luxurious_suv
197,197,197,197,197,197,197,197,197,Kumasi,No,primary_plan,Bachelor,Employed,male,Single,134,13,1,1,contacting_branch_directly,4-door_car
198,198,198,198,198,198,198,198,198,Tamale,No,extended_plan,High School or Below,Unemployed,female,Single,192,52,2,3,contacting_branch_directly,2-door_car
199,199,199,199,199,199,199,199,199,Accra,Yes,extended_plan,College,Employed,male,Married,152,64,4,1,contacting_branch_directly,4-door_car
200,200,200,200,200,200,200,200,200,Accra,No,premium_plan,Master,Disabled,female,Single,300,129,3,1,customer_call_centre,SUV
