,city,churn,type_of_plan,highest_level_education,work_status,sex,salary_monthly,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew Offer Type,reachability,claim_amount,type_of_vehicle
52,Cape_coast,No,primary_plan,High School or Below,Employed,female,6209.310344827586,Married,138,17.0,2,4,contacting_branch_directly,173.956072,4-door_car
53,Tamale,No,primary_plan,Bachelor,Employed,male,5143.793103448276,Single,128,82.0,3,4,contacting_agent,307.2,4-door_car
54,Accra,No,premium_plan,Bachelor,Disabled,male,2879.4827586206898,Married,226,86.0,1,1,contacting_branch_directly,831.625979,4-door_car
55,Takoradi,No,extended_plan,College,Employed,female,8038.448275862069,Divorced,182,4.0,3,3,customer_call_centre,436.8,4-door_car
56,Accra,No,primary_plan,College,Employed,male,11163.620689655172,Married,128,103.0,2,2,contacting_branch_directly,302.56519,4-door_car
57,Takoradi,No,primary_plan,High School or Below,Unemployed,female,0.0,Married,202,125.0,1,1,customer_call_centre,484.8,SUV
58,Kumasi,No,extended_plan,High School or Below,Disabled,female,2925.689655172414,Divorced,248,146.0,1,1,customer_call_centre,704.768111,SUV
59,Kumasi,No,premium_plan,Master,Disabled,female,2003.6206896551728,Divorced,216,17.0,1,1,contacting_agent,518.4,4-door_car
60,Takoradi,Yes,primary_plan,Bachelor,Retired,male,3038.2758620689656,Divorced,130,4.0,3,1,contacting_agent,312.0,4-door_car
61,Accra,No,premium_plan,Bachelor,Medical Leave,female,1980.8620689655168,Married,210,17.0,6,1,customer_call_centre,504.0,2-door_car
62,Kumasi,No,extended_plan,Bachelor,Unemployed,male,0.0,Single,188,86.0,1,1,contacting_agent,863.327324,2-door_car
63,Accra,No,primary_plan,High School or Below,Employed,female,11469.827586206897,Married,200,0.0,2,1,contacting_agent,104.331355,SUV
64,Takoradi,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,126,90.0,2,3,contacting_branch_directly,676.391482,4-door_car
65,Tamale,No,primary_plan,College,Employed,male,5803.96551724138,Married,146,125.0,1,3,via_the_web,350.4,4-door_car
66,Kumasi,No,primary_plan,College,Employed,female,3887.413793103448,Divorced,224,30.0,3,1,contacting_agent,537.6,SUV
67,Takoradi,No,extended_plan,High School or Below,Employed,female,10601.03448275862,Married,194,22.0,2,4,contacting_branch_directly,465.258644,2-door_car
68,Kumasi,Yes,extended_plan,Bachelor,Unemployed,female,0.0,Divorced,190,56.0,5,1,customer_call_centre,456.0,2-door_car
69,Accra,No,premium_plan,College,Disabled,female,5151.551724137931,Married,204,73.0,2,3,via_the_web,500.254235,4-door_car
70,Kumasi,No,primary_plan,High School or Below,Employed,male,16036.379310344828,Divorced,226,73.0,2,4,contacting_agent,281.451042,SUV
71,Kumasi,No,primary_plan,Master,Employed,male,11238.96551724138,Married,130,125.0,1,2,via_the_web,5.434505,2-door_car
72,Kumasi,No,primary_plan,Master,Medical Leave,male,4627.586206896552,Married,128,4.0,1,1,contacting_agent,307.2,4-door_car
73,Kumasi,No,primary_plan,Bachelor,Unemployed,male,0.0,Single,208,129.0,5,1,contacting_agent,982.399613,Sports Car
74,Kumasi,Yes,primary_plan,Bachelor,Employed,male,13042.06896551724,Divorced,130,22.0,9,2,contacting_branch_directly,467.803638,2-door_car
75,Kumasi,No,primary_plan,Bachelor,Employed,male,6721.379310344828,Married,146,116.0,2,2,contacting_branch_directly,350.4,4-door_car
76,Kumasi,No,primary_plan,High School or Below,Employed,female,12381.206896551725,Single,142,73.0,6,2,customer_call_centre,29.03416,4-door_car
77,Cape_coast,No,primary_plan,College,Employed,male,3613.96551724138,Married,134,86.0,2,2,contacting_agent,321.6,4-door_car
78,Tamale,No,extended_plan,College,Employed,male,6710.862068965517,Married,198,26.0,2,1,contacting_agent,115.728852,4-door_car
79,Accra,No,primary_plan,Bachelor,Employed,male,10572.586206896553,Single,372,0.0,2,2,contacting_branch_directly,427.63121,luxirious_car
80,Accra,No,extended_plan,College,Unemployed,female,0.0,Single,154,86.0,2,3,contacting_branch_directly,25.807685,2-door_car
81,Accra,Yes,primary_plan,High School or Below,Employed,male,8804.48275862069,Single,148,99.0,8,2,customer_call_centre,787.993313,4-door_car
82,Accra,No,primary_plan,Doctor,Employed,male,5927.241379310345,Married,204,52.0,1,3,contacting_branch_directly,489.6,SUV
83,Cape_coast,No,primary_plan,Master,Employed,male,7426.206896551725,Married,126,150.0,1,2,customer_call_centre,302.4,4-door_car
84,Kumasi,No,extended_plan,College,Disabled,female,4348.620689655172,Single,180,120.0,3,2,contacting_agent,475.623251,4-door_car
85,Tamale,No,primary_plan,High School or Below,Employed,male,6338.793103448276,Married,132,64.0,2,1,customer_call_centre,320.849072,4-door_car
86,Accra,Yes,extended_plan,College,Retired,male,3981.206896551724,Married,192,120.0,5,1,contacting_agent,460.8,4-door_car
87,Accra,No,primary_plan,Bachelor,Employed,female,8322.241379310344,Married,138,13.0,1,3,via_the_web,282.151207,4-door_car
88,Kumasi,No,primary_plan,Bachelor,Employed,female,5641.379310344828,Divorced,134,56.0,1,3,contacting_branch_directly,321.6,4-door_car
89,Accra,Yes,extended_plan,College,Employed,male,3516.551724137931,Married,152,64.0,4,1,contacting_branch_directly,364.8,4-door_car
90,Kumasi,No,premium_plan,College,Medical Leave,male,3709.137931034483,Married,238,90.0,2,2,contacting_branch_directly,679.827592,2-door_car
91,Tamale,Yes,extended_plan,Bachelor,Employed,female,12506.896551724138,Married,176,30.0,2,2,customer_call_centre,631.743039,2-door_car
92,Kumasi,No,primary_plan,Bachelor,Employed,female,13921.379310344828,Married,126,103.0,1,1,contacting_agent,11.879037,4-door_car
93,Kumasi,No,primary_plan,Bachelor,Employed,male,9107.241379310344,Married,134,99.0,1,1,contacting_branch_directly,350.529033,2-door_car
94,Accra,No,extended_plan,High School or Below,Unemployed,female,0.0,Single,154,34.0,9,1,contacting_agent,863.3947,4-door_car
95,Kumasi,No,primary_plan,Bachelor,Employed,female,12023.793103448275,Married,148,9.0,2,1,contacting_branch_directly,492.127532,4-door_car
96,Takoradi,No,primary_plan,Master,Medical Leave,female,3065.5172413793102,Married,218,52.0,9,1,contacting_branch_directly,132.588288,SUV
97,Accra,No,primary_plan,Bachelor,Medical Leave,male,3121.896551724138,Married,124,125.0,8,1,contacting_agent,297.6,4-door_car
98,Takoradi,No,primary_plan,Bachelor,Employed,female,9955.172413793103,Married,148,129.0,9,3,via_the_web,269.905129,4-door_car
99,Kumasi,No,extended_plan,College,Employed,male,5625.344827586207,Married,152,47.0,7,1,contacting_agent,380.036697,2-door_car
100,Accra,Yes,primary_plan,College,Unemployed,female,0.0,Married,214,13.0,3,1,contacting_agent,513.6,SUV
101,Accra,Yes,primary_plan,College,Unemployed,male,0.0,Single,140,103.0,1,1,contacting_branch_directly,425.266308,4-door_car
102,Kumasi,No,primary_plan,Bachelor,Employed,male,11343.96551724138,Single,124,9.0,3,3,customer_call_centre,49.011099,2-door_car
103,Accra,Yes,premium_plan,College,Employed,male,10426.724137931034,Married,214,39.0,1,2,contacting_branch_directly,513.6,4-door_car
104,Accra,No,extended_plan,High School or Below,Unemployed,female,0.0,Single,260,120.0,4,1,via_the_web,936.0,SUV
105,Kumasi,No,extended_plan,Bachelor,Employed,female,7213.275862068966,Married,176,125.0,9,1,customer_call_centre,142.062768,4-door_car
106,Accra,No,primary_plan,Bachelor,Employed,female,5569.48275862069,Married,130,56.0,2,3,contacting_branch_directly,45.152521,4-door_car
107,Kumasi,No,primary_plan,High School or Below,Unemployed,male,0.0,Married,234,22.0,3,1,contacting_agent,561.6,SUV
108,Accra,No,primary_plan,Bachelor,Employed,female,6988.103448275862,Married,148,73.0,9,1,contacting_agent,30.567357,2-door_car
109,Kumasi,No,primary_plan,College,Employed,male,13775.517241379312,Married,124,22.0,1,4,contacting_agent,271.606799,4-door_car
110,Accra,No,extended_plan,College,Employed,male,9723.793103448275,Married,170,17.0,7,4,contacting_agent,408.0,4-door_car
111,Tamale,No,extended_plan,High School or Below,Employed,male,6078.793103448276,Divorced,196,69.0,8,2,via_the_web,470.4,4-door_car
112,Takoradi,No,primary_plan,College,Employed,male,4793.793103448276,Married,218,82.0,7,2,contacting_branch_directly,784.8,SUV
113,Kumasi,No,primary_plan,Bachelor,Employed,male,7845.862068965517,Single,132,69.0,2,1,contacting_agent,316.8,4-door_car
114,Tamale,No,primary_plan,High School or Below,Employed,male,11240.689655172417,Married,134,0.0,2,4,contacting_branch_directly,396.082036,4-door_car
115,Accra,No,primary_plan,High School or Below,Unemployed,male,0.0,Married,204,47.0,3,1,contacting_agent,489.6,SUV
116,Kumasi,Yes,extended_plan,High School or Below,Retired,male,3619.4827586206898,Divorced,266,150.0,1,2,contacting_agent,638.4,SUV
117,Takoradi,No,extended_plan,High School or Below,Employed,male,6523.96551724138,Married,172,150.0,9,2,contacting_branch_directly,465.633954,2-door_car
118,Accra,No,primary_plan,Bachelor,Employed,female,15984.655172413792,Single,124,103.0,1,3,contacting_agent,368.400146,2-door_car
119,Accra,No,extended_plan,College,Employed,female,12873.275862068966,Married,156,43.0,1,2,customer_call_centre,236.902001,4-door_car
120,Tamale,No,extended_plan,College,Unemployed,male,0.0,Married,166,112.0,1,3,via_the_web,582.679087,2-door_car
121,Accra,No,primary_plan,Bachelor,Employed,male,8074.6551724137935,Married,224,26.0,9,1,customer_call_centre,64.109663,Sports Car
122,Kumasi,No,primary_plan,High School or Below,Employed,female,15304.827586206897,Married,136,73.0,7,3,contacting_branch_directly,326.4,2-door_car
123,Accra,No,primary_plan,High School or Below,Employed,male,4872.758620689655,Single,384,39.0,3,3,via_the_web,921.6,luxurious_suv
124,Cape_coast,No,primary_plan,Bachelor,Employed,female,5785.344827586207,Married,126,73.0,1,1,contacting_agent,101.89645,4-door_car
125,Kumasi,No,premium_plan,College,Employed,male,7375.862068965517,Divorced,226,43.0,2,1,customer_call_centre,542.4,4-door_car
126,Kumasi,No,extended_plan,Master,Employed,female,10146.551724137931,Single,156,86.0,1,2,contacting_branch_directly,143.747794,4-door_car
127,Takoradi,No,extended_plan,College,Employed,male,3772.413793103448,Married,194,125.0,1,1,contacting_branch_directly,424.077159,4-door_car
128,Kumasi,Yes,primary_plan,College,Retired,male,4353.620689655172,Divorced,132,56.0,2,2,via_the_web,316.8,4-door_car
129,Tamale,No,primary_plan,Master,Unemployed,female,0.0,Married,138,39.0,2,2,contacting_agent,2.704934,4-door_car
130,Takoradi,No,primary_plan,High School or Below,Employed,male,4170.344827586207,Married,218,60.0,1,1,contacting_agent,523.2,Sports Car
131,Cape_coast,No,primary_plan,Bachelor,Employed,female,7174.310344827586,Married,148,60.0,8,1,contacting_branch_directly,113.801497,4-door_car
132,Kumasi,No,primary_plan,Bachelor,Employed,female,4897.586206896552,Married,144,69.0,4,1,customer_call_centre,192.87572,4-door_car
133,Takoradi,No,premium_plan,College,Employed,male,12040.172413793103,Married,236,138.0,1,1,contacting_agent,828.662719,4-door_car
134,Takoradi,No,primary_plan,High School or Below,Unemployed,female,0.0,Single,148,64.0,2,1,via_the_web,532.8,4-door_car
135,Takoradi,No,primary_plan,High School or Below,Unemployed,male,0.0,Single,234,26.0,1,1,contacting_agent,975.107098,SUV
136,Kumasi,No,primary_plan,High School or Below,Employed,female,13885.517241379312,Married,238,22.0,3,1,contacting_branch_directly,53.798708,Sports Car
137,Tamale,No,primary_plan,College,Unemployed,female,0.0,Single,126,9.0,1,2,contacting_agent,606.642452,4-door_car
138,Kumasi,No,extended_plan,College,Employed,female,16850.344827586207,Married,158,0.0,2,4,contacting_branch_directly,289.9122,4-door_car
139,Takoradi,No,extended_plan,Bachelor,Employed,female,10555.51724137931,Single,178,86.0,2,3,contacting_branch_directly,392.604371,4-door_car
140,Kumasi,No,primary_plan,College,Unemployed,male,0.0,Single,148,30.0,1,4,via_the_web,721.242206,2-door_car
141,Takoradi,No,premium_plan,Master,Employed,male,8678.448275862069,Married,280,39.0,1,1,customer_call_centre,456.52385,SUV
142,Accra,No,extended_plan,High School or Below,Unemployed,female,0.0,Single,254,129.0,6,3,contacting_branch_directly,1087.995426,Sports Car
143,Tamale,No,premium_plan,High School or Below,Employed,male,10900.172413793103,Married,336,120.0,1,3,contacting_agent,806.4,SUV
144,Kumasi,Yes,extended_plan,High School or Below,Unemployed,female,0.0,Married,192,133.0,1,1,contacting_agent,460.8,4-door_car
145,Cape_coast,No,extended_plan,Bachelor,Employed,male,11119.827586206897,Married,184,146.0,1,4,via_the_web,251.992083,4-door_car
146,Accra,No,primary_plan,College,Unemployed,female,0.0,Married,144,30.0,2,1,customer_call_centre,345.6,4-door_car
147,Takoradi,No,primary_plan,Bachelor,Employed,female,4975.689655172414,Divorced,134,103.0,4,1,customer_call_centre,321.6,2-door_car
148,Takoradi,No,extended_plan,High School or Below,Employed,female,13332.758620689656,Married,198,0.0,3,2,via_the_web,99.257608,4-door_car
149,Kumasi,Yes,premium_plan,College,Unemployed,male,0.0,Married,210,13.0,1,1,contacting_branch_directly,504.0,4-door_car
150,Tamale,No,primary_plan,Bachelor,Employed,male,4223.275862068966,Single,140,125.0,1,4,contacting_branch_directly,336.0,4-door_car
151,Tamale,Yes,primary_plan,High School or Below,Employed,male,16499.48275862069,Married,214,125.0,9,2,contacting_agent,178.006524,Sports Car
152,Takoradi,No,extended_plan,High School or Below,Disabled,male,4546.896551724138,Married,252,47.0,1,4,contacting_agent,604.8,SUV
153,Takoradi,No,extended_plan,Bachelor,Medical Leave,female,3019.655172413793,Married,254,9.0,3,1,contacting_branch_directly,8.312729,SUV
154,Accra,No,primary_plan,Bachelor,Employed,female,15391.379310344828,Single,148,73.0,1,2,contacting_branch_directly,316.599228,4-door_car
155,Accra,No,primary_plan,High School or Below,Employed,male,5130.517241379311,Married,130,56.0,1,2,via_the_web,312.0,4-door_car
156,Kumasi,No,extended_plan,College,Employed,male,8933.448275862069,Single,184,120.0,1,3,contacting_agent,56.300724,4-door_car
157,Kumasi,No,extended_plan,Bachelor,Employed,female,4142.758620689655,Married,164,60.0,2,2,contacting_agent,393.6,4-door_car
158,Takoradi,Yes,primary_plan,College,Retired,male,4852.068965517242,Married,210,77.0,1,2,contacting_agent,701.708239,Sports Car
159,Takoradi,No,primary_plan,Bachelor,Employed,female,9087.06896551724,Married,128,60.0,2,1,via_the_web,128.705563,2-door_car
160,Accra,No,primary_plan,High School or Below,Unemployed,male,0.0,Married,126,4.0,1,2,contacting_agent,679.368378,2-door_car
161,Tamale,No,primary_plan,College,Employed,female,14638.448275862069,Married,222,30.0,1,1,contacting_agent,497.126827,SUV
162,Accra,Yes,primary_plan,College,Unemployed,female,0.0,Divorced,236,60.0,4,1,contacting_agent,566.4,SUV
163,Tamale,Yes,primary_plan,Bachelor,Retired,female,4294.827586206897,Single,126,30.0,1,1,contacting_branch_directly,347.857619,4-door_car
164,Accra,No,extended_plan,Bachelor,Unemployed,male,0.0,Single,154,64.0,2,1,contacting_agent,554.4,4-door_car
165,Kumasi,No,primary_plan,Master,Medical Leave,male,3771.7241379310335,Married,136,52.0,2,1,contacting_agent,465.41477,4-door_car
166,Accra,No,primary_plan,Bachelor,Unemployed,female,0.0,Single,138,142.0,2,1,contacting_agent,496.8,4-door_car
167,Accra,Yes,primary_plan,High School or Below,Unemployed,female,0.0,Single,122,73.0,7,1,contacting_agent,292.8,4-door_car
168,Kumasi,No,extended_plan,High School or Below,Employed,female,12189.48275862069,Divorced,164,4.0,2,3,contacting_agent,256.813837,4-door_car
169,Accra,No,primary_plan,High School or Below,Unemployed,female,0.0,Married,148,47.0,2,1,contacting_agent,355.2,4-door_car
170,Accra,No,primary_plan,College,Medical Leave,male,4741.551724137931,Married,126,86.0,1,4,contacting_branch_directly,542.319401,4-door_car
171,Kumasi,No,premium_plan,Doctor,Disabled,female,2740.862068965517,Divorced,202,129.0,2,2,contacting_agent,303.148399,4-door_car
172,Cape_coast,No,primary_plan,College,Employed,female,4334.6551724137935,Divorced,146,52.0,2,3,contacting_agent,25.438063,4-door_car
173,Cape_coast,No,primary_plan,College,Unemployed,female,0.0,Married,122,22.0,1,3,contacting_agent,292.8,4-door_car
174,Accra,Yes,primary_plan,High School or Below,Employed,male,8804.48275862069,Single,148,99.0,8,2,customer_call_centre,787.993313,4-door_car
175,Accra,No,primary_plan,Bachelor,Employed,female,4889.310344827586,Married,234,103.0,1,2,customer_call_centre,84.024413,Sports Car
176,Tamale,No,primary_plan,College,Employed,female,10663.103448275862,Married,224,4.0,1,2,contacting_agent,215.8182,SUV
177,Takoradi,No,primary_plan,Bachelor,Employed,female,15684.827586206897,Married,148,13.0,8,2,customer_call_centre,232.926145,2-door_car
178,Tamale,No,primary_plan,College,Unemployed,female,0.0,Single,148,13.0,7,3,via_the_web,532.8,2-door_car
179,Accra,No,primary_plan,Bachelor,Employed,female,5094.6551724137935,Divorced,208,73.0,1,2,customer_call_centre,710.433775,Sports Car
180,Accra,No,premium_plan,Bachelor,Unemployed,female,0.0,Married,230,52.0,2,1,contacting_agent,552.0,4-door_car
181,Cape_coast,No,extended_plan,Bachelor,Employed,female,6795.0,Married,434,17.0,4,3,contacting_branch_directly,1122.658899,luxirious_car
182,Kumasi,No,primary_plan,High School or Below,Employed,male,3742.931034482759,Married,124,120.0,3,2,contacting_branch_directly,408.374746,4-door_car
183,Cape_coast,No,extended_plan,Bachelor,Employed,male,11705.172413793103,Single,170,99.0,2,4,contacting_agent,408.0,4-door_car
184,Accra,No,primary_plan,Bachelor,Unemployed,male,0.0,Single,220,13.0,1,1,contacting_agent,792.0,SUV
185,Accra,No,primary_plan,High School or Below,Employed,female,14536.379310344828,Single,222,47.0,2,3,customer_call_centre,532.8,SUV
186,Accra,No,primary_plan,College,Employed,female,17123.44827586207,Single,228,112.0,1,2,contacting_branch_directly,754.358929,SUV
187,Takoradi,Yes,extended_plan,Bachelor,Employed,female,9397.758620689656,Married,276,86.0,1,2,contacting_agent,702.990032,SUV
188,Accra,No,extended_plan,Bachelor,Employed,female,11135.51724137931,Single,152,13.0,1,3,contacting_branch_directly,206.837111,4-door_car
189,Kumasi,No,extended_plan,College,Employed,male,10639.48275862069,Married,164,22.0,7,3,contacting_branch_directly,275.395894,4-door_car
190,Accra,No,primary_plan,Master,Employed,male,16320.0,Married,222,52.0,1,4,via_the_web,459.738128,SUV
191,Accra,No,primary_plan,High School or Below,Unemployed,female,0.0,Single,138,22.0,1,4,contacting_branch_directly,496.8,2-door_car
192,Accra,No,primary_plan,Bachelor,Employed,male,10531.896551724138,Married,140,116.0,1,2,contacting_branch_directly,336.0,2-door_car
193,Kumasi,No,primary_plan,Bachelor,Employed,female,15393.793103448275,Married,134,30.0,2,4,contacting_agent,321.6,2-door_car
194,Takoradi,No,primary_plan,High School or Below,Unemployed,female,0.0,Divorced,126,26.0,2,1,contacting_branch_directly,302.4,4-door_car
195,Tamale,No,extended_plan,Bachelor,Employed,female,5463.103448275862,Married,162,47.0,1,1,contacting_agent,430.994107,4-door_car
196,Kumasi,No,premium_plan,High School or Below,Employed,male,9802.586206896553,Single,510,52.0,1,4,via_the_web,1836.0,luxurious_suv
197,Kumasi,No,primary_plan,Bachelor,Employed,male,9259.137931034484,Single,134,13.0,1,1,contacting_branch_directly,67.632476,4-door_car
198,Tamale,No,extended_plan,High School or Below,Unemployed,female,0.0,Single,192,52.0,2,3,contacting_branch_directly,844.481918,2-door_car
199,Accra,Yes,extended_plan,College,Employed,male,3516.551724137931,Married,152,64.0,4,1,contacting_branch_directly,364.8,4-door_car
200,Accra,No,premium_plan,Master,Disabled,female,4772.241379310345,Single,300,129.0,3,1,customer_call_centre,722.486994,SUV
201,Cape_coast,Yes,extended_plan,Bachelor,Retired,female,4121.379310344828,Single,246,4.0,1,1,contacting_agent,590.4,SUV
202,Takoradi,No,primary_plan,High School or Below,Employed,female,11267.41379310345,Married,138,17.0,1,2,customer_call_centre,481.027516,4-door_car
203,Accra,No,primary_plan,College,Unemployed,male,0.0,Single,226,86.0,7,1,contacting_agent,1124.427734,SUV
204,Accra,No,primary_plan,High School or Below,Unemployed,male,0.0,Single,126,0.0,7,1,customer_call_centre,669.682001,4-door_car
205,Accra,No,primary_plan,College,Unemployed,male,0.0,Single,232,60.0,2,1,contacting_agent,1284.093173,SUV
206,Accra,No,primary_plan,College,Employed,female,11113.620689655172,Married,144,69.0,1,2,contacting_branch_directly,240.259479,4-door_car
207,Accra,No,premium_plan,College,Employed,male,5682.931034482759,Married,380,56.0,3,1,contacting_branch_directly,912.0,SUV
208,Kumasi,No,primary_plan,High School or Below,Employed,female,12313.103448275862,Divorced,232,43.0,3,2,contacting_agent,556.8,SUV
209,Tamale,No,extended_plan,Bachelor,Employed,female,11890.344827586208,Married,156,64.0,3,3,via_the_web,115.086827,4-door_car
210,Accra,No,extended_plan,High School or Below,Employed,male,13466.896551724138,Single,196,52.0,1,2,contacting_agent,470.4,2-door_car
